Company,Last Review,In Contract,Renewal Date,Monthly Spend,Locations,$/Location,Responsiveness,Tier
"Russo's New York Pizzeria  | Broken Arrow",2025-10-08,N,,179.22,,,,Tier 3
"Fox's Pizza Den | Troy Weise",2025-10-02,Y,2027-02-06,852,1,852.00,Yes,Tier 1
"India House of Utah",2025-10-02,Y,2026-07-14,398,1,398.00,Yes,Tier 2
"Celestino's Pizza & Ristorante (PizzaHQ)",2025-10-01,Y,2026-06-12,355,,,Yes,Tier 2
"B.C Pizza (Charlevoix)",2025-09-25,N,,491.69,,,Yes,Tier 2
"Fox's Pizza Den | Scott Lane",2025-09-22,N,,99,1,99.00,Yes,Tier 3
"Nick's Place | Raymond",2025-09-22,N,,782,,,Yes,Tier 1
"Romeos Pizza Apex NC",2025-09-16,N,,257,1,257.00,Yes,Tier 3
"Joe's Pizza (Jake Betts)",2025-09-15,Y,2026-09-30,475,,,Sometimes,Tier 2
"Gaetano's Ristorante",2025-09-15,N,,99,1,99.00,Yes,Tier 3
"Fox's Pizza Den | Nicole and Carl",2025-09-11,N,,452,,,No,Tier 2
"Fox's Pizza Den | Connor McBriar",2025-09-10,Y,2026-03-26,328,1,328.00,Yes,Tier 3
"Fox's Pizza Den | Tammy Watson",2025-09-09,Y,2026-05-13,192,1,192.00,Yes,Tier 3
"Fox's Pizza Den | Michael Gray",2025-09-09,N,,351,,,Sometimes,Tier 2
"Burke Street Pizza (Burke Street)",2025-09-09,N,,700,2,350.00,Yes,Tier 1
"New York To Go",2025-09-05,N,,499.8,,,Yes,Tier 2
"Fox's Pizza Den | Alesa Weslager",2025-09-04,N,,120,1,120.00,Yes,Tier 3
"Fox's Den Pizza | Samantha Serventi",2025-09-03,N,,488,1,488.00,Yes,Tier 2
"Tryst Cafe (Phoenix and Chandler)",2025-08-26,Y,2026-08-27,156,1,156.00,Yes,Tier 3
"Fox's Pizza Den | Theresa Krentz",2025-08-25,N,,158,,,,Tier 3
"Deangelo's Italian Creole",2025-08-20,Y,2027-02-04,874.99,1,874.99,Yes,Tier 1
"North Beach Pizza (6)",2025-08-20,N,,568,6,94.67,Yes,Tier 1
"The Eli Fish Brewing Co",2025-08-18,Y,2026-08-21,478.59,,,Sometimes,Tier 2
"“Your” Pizza Shop",2025-08-12,Y,2026-08-13,807,1,807.00,Sometimes,Tier 1
"Fox's Pizza Den | Caressa Chapman",2025-08-06,N,,168,2,84.00,,Tier 3
"Doctor Dogs",2025-08-06,Y,2026-08-08,189,,,,Tier 3
"Pizzeria Dolorosa",2025-08-01,N,,348,,,No,Tier 3
"Good Eats and Sips",2025-07-31,Y,2026-07-19,140.47,,,,Tier 3
"The Pizza Gene",2025-07-30,N,,619,1,619.00,Yes,Tier 1
"Wasserhund Brewing Company",2025-07-30,N,,1984,3,661.33,Sometimes,Tier 1
"Hungry Howie's Pizza & Subs",2025-07-30,N,,473,2,236.50,Yes,Tier 2
"Arturo's Pizza Kitchen",2025-07-29,Y,2026-11-25,857,1,857.00,Yes,Tier 1
"Pizza Pit Madison",2025-07-28,N,,492,,,Yes,Tier 2
"Westside Pizza (Corporate)",2025-07-25,N,,1896,29,65.38,Yes,Tier 1
"Fat Daddy's Pizzeria",2025-07-24,N,,126,1,126.00,Sometimes,Tier 3
"Glory Days Pizza",2025-07-24,Y,2025-10-14,908,7,129.71,No,Tier 1
"Nicolo's Pizza",2025-07-23,N,,1163.76,,,Sometimes,Tier 1
"Wingnutz Buffalo",2025-07-23,Y,2026-05-09,3290,2,1645.00,Yes,Tier 1
"Town Hall Pizza",2025-07-22,Y,2026-04-15,355,1,355.00,Sometimes,Tier 2
"Casa Bianca Pizza Pie",2025-07-21,N,,285.24,,,Sometimes,Tier 3
"Anthony Franco's Pizza",2025-07-21,Y,2026-09-13,517,2,258.50,Yes,Tier 1
"Tony and albas pizza",2025-07-18,N,,136,1,136.00,Yes,Tier 3
"TJ's On The Avenue",2025-07-17,N,,375,1,375.00,Yes,Tier 2
"Apricot Stone",2025-07-17,N,,331.86,,,Yes,Tier 3
"Primo Brothers Pizza",2025-07-16,Y,2026-08-02,275.66,,,Sometimes,Tier 3
"Pizza Dudes",2025-07-16,Y,2026-09-24,704.37,,,Yes,Tier 1
"CluckU of Red Bank",2025-07-15,N,,99,1,99.00,Yes,Tier 3
"Ollies",2025-07-15,Y,2026-06-19,682.49,,,Yes,Tier 1
"Clinton Hometown Pizza",2025-07-09,Y,2026-07-28,634.97,,,Yes,Tier 1
"B.C. Pizza McDonough",2025-07-07,N,,356.17,,,Yes,Tier 2
"Riverfront Seafood Company",2025-07-07,Y,2026-07-09,591.26,,,Sometimes,Tier 1
"McGregor Pizza & Deli",2025-07-07,N,,1110,2,555.00,Yes,Tier 1
"Fox's Pizza Den | Tommy Wynkoop",2025-07-03,N,,409,1,409.00,Yes,Tier 2
"Ferro Pizzeria",2025-07-01,Y,2026-07-12,833.19,,,Yes,Tier 1
"Brooklyn Pizza & Pasta",2025-07-01,Y,2026-07-25,1067.26,,,Sometimes,Tier 1
"JB Albertos Pizza",2025-07-01,Y,2026-04-29,1174,,,Sometimes,Tier 1
"Sam’s Ristorante",2025-06-30,N,,499.89,,,Yes,Tier 2
"Fox's Pizza Den | Seth Righi",2025-06-30,Y,2026-12-30,1700,1,1700.00,Yes,Tier 1
"DeFelice Bros Pizza (Weirton)",2025-06-30,Y,2026-04-30,571.88,,,Yes,Tier 1
"Russo's | Woodlands, Conroe",2025-06-30,N,,248,,,Yes,Tier 3
"Nonna Bella's",2025-06-26,N,,1495.71,,,Yes,Tier 1
"Coastal Cafe and Creamery",2025-06-26,Y,2026-08-22,489.75,,,Yes,Tier 2
"Russo's | New Caney",2025-06-25,N,,641.57,,,Yes,Tier 1
"Joe’s Meat Market",2025-06-25,Y,2026-05-16,549.69,,,Sometimes,Tier 1
